fpr,,tpr,thresholds,,,,,,
0,1,0,1.9254141,,,,,,
0,1,0.025,0.92541414,,,,,,
0.001455604,0.998544396,0.025,0.8987084,,,,,,
0.001455604,0.998544396,0.05,0.89529234,,,thresholds,0.6,0.55,0.46
0.004366812,0.995633188,0.05,0.8394572,,,sensitivity,0.53,0.63,0.9
0.004366812,0.995633188,0.075,0.83443296,,,specificity,0.91,0.84,0.68
0.010189229,0.989810771,0.075,0.8016806,,,,,,
0.010189229,0.989810771,0.1,0.7796833,,,,,,
0.013100437,0.986899563,0.1,0.7691706,,,,,,
0.013100437,0.986899563,0.125,0.7658063,,,0.905385735,0.525,0.6039704,
0.018922853,0.981077147,0.125,0.752835,,,0.841339156,0.625,0.54843783,
0.018922853,0.981077147,0.15,0.74292576,,,0.679767103,0.9,0.45885867,
0.023289665,0.976710335,0.15,0.7345123,,,,,,
0.023289665,0.976710335,0.2,0.7326441,,,,,,
0.026200873,0.973799127,0.2,0.73192394,,,,,,
0.026200873,0.973799127,0.225,0.7266758,,,,,,
0.030567686,0.969432314,0.225,0.722356,,,,,,
0.030567686,0.969432314,0.25,0.71967125,,,,,,
0.033478894,0.966521106,0.25,0.7166759,,,,,,
0.033478894,0.966521106,0.3,0.71079487,,,,,,
0.034934498,0.965065502,0.3,0.70777315,,,,,,
0.034934498,0.965065502,0.325,0.7070053,,,,,,
0.037845706,0.962154294,0.325,0.7006802,,,,,,
0.037845706,0.962154294,0.35,0.69968945,,,,,,
0.043668122,0.956331878,0.35,0.69102454,,,,,,
0.043668122,0.956331878,0.375,0.68225455,,,,,,
0.04657933,0.95342067,0.375,0.6763647,,,,,,
0.04657933,0.95342067,0.4,0.6755575,,,,,,
0.053857351,0.946142649,0.4,0.66768515,,,,,,
0.053857351,0.946142649,0.425,0.66460896,,,,,,
0.055312955,0.944687045,0.425,0.66109884,,,,,,
0.055312955,0.944687045,0.45,0.6592151,,,,,,
0.075691412,0.924308588,0.45,0.61978275,,,,,,
0.075691412,0.924308588,0.475,0.6191416,,,,,,
0.081513828,0.918486172,0.475,0.6164595,,,,,,
0.081513828,0.918486172,0.5,0.61529213,,,,,,
0.082969432,0.917030568,0.5,0.6149998,,,,,,
0.082969432,0.917030568,0.525,0.6146294,,,,,,
0.094614265,0.905385735,0.525,0.6039704,,,,,,
0.094614265,0.905385735,0.55,0.6032623,,,,,,
0.11790393,0.88209607,0.55,0.5773987,,,,,,
0.11790393,0.88209607,0.575,0.57623947,,,,,,
0.138282387,0.861717613,0.575,0.56311685,,,,,,
0.138282387,0.861717613,0.6,0.56267893,,,,,,
0.158660844,0.841339156,0.6,0.54907346,,,,,,
0.158660844,0.841339156,0.625,0.54843783,,,,,,
