epoch,accuracy,loss,negative,positive,pred_positive,roc_auc,sensitivity,specificity,true_negative,true_positive,val_accuracy,val_loss,val_negative,val_positive,val_pred_positive,val_roc_auc,val_sensitivity,val_speci,val_true_negative,val_true_positive
0,0.4281496,7.460888863,471,37,291,0.4970448,0.5405405,0.41401273,195,20,0.511415541,7.823244095,197,22,111,0.522150457,0.590909064,0.502538085,99,13
1,0.44291338,7.343024254,471,37,300,0.6180065,0.7297297,0.42038217,198,27,0.442922384,7.76098299,197,22,126,0.517997205,0.590909064,0.426395953,84,13
2,0.3996063,7.454893112,471,37,318,0.52269465,0.6756757,0.37791932,178,25,0.374429226,7.699761391,197,22,143,0.514074743,0.636363626,0.34517765,68,14
3,0.33070865,7.388580322,471,37,347,0.45274574,0.5945946,0.30997878,146,22,0.310502291,7.642230034,197,22,157,0.509921551,0.636363626,0.274111688,54,14
4,0.35433072,7.240432739,471,37,347,0.5610834,0.7567568,0.32271764,152,28,0.283105016,7.586401939,197,22,165,0.507383466,0.681818187,0.238578677,47,15
5,0.3011811,7.345014572,471,37,362,0.51437426,0.5945946,0.27813163,131,22,0.251141548,7.531546116,197,22,172,0.505768359,0.681818187,0.203045681,40,15
6,0.26771653,7.288827419,471,37,389,0.5032995,0.7297297,0.2314225,109,27,0.214611873,7.478493214,197,22,182,0.503230274,0.727272749,0.157360405,31,16
7,0.2893701,7.41172266,471,37,374,0.52068627,0.6756757,0.25902337,122,25,0.187214613,7.426680088,197,22,188,0.498384863,0.727272749,0.126903549,25,16
8,0.31692913,6.952046871,471,37,372,0.6189247,0.8378378,0.2760085,130,31,0.155251145,7.37648344,197,22,195,0.497000456,0.727272749,0.09137056,18,16
9,0.27952754,7.088415623,471,37,387,0.48235497,0.7837838,0.23991507,113,29,0.146118715,7.327561855,197,22,199,0.497692674,0.772727251,0.076142132,15,17
10,0.23622048,6.973802567,471,37,415,0.55729616,0.8648649,0.18683651,88,32,0.1369863,7.280207634,197,22,203,0.495385319,0.818181813,0.060913704,12,18
11,0.23228346,7.029202461,471,37,411,0.4796006,0.7837838,0.18895966,89,29,0.127853885,7.233551979,197,22,205,0.493539453,0.818181813,0.05076142,10,18
12,0.20472442,7.04505825,471,37,423,0.497676,0.7567568,0.16135882,76,28,0.118721463,7.187596798,197,22,207,0.490078449,0.818181813,0.040609136,8,18
13,0.21850394,6.896150589,471,37,426,0.51052964,0.8918919,0.1656051,78,33,0.10958904,7.14195776,197,22,209,0.488001853,0.818181813,0.030456852,6,18
14,0.21062993,6.771564007,471,37,432,0.58788085,0.9189189,0.15498939,73,34,0.100456618,7.097975731,197,22,213,0.487540364,0.863636374,0.015228426,3,19
15,0.18897638,6.764007092,471,37,443,0.556378,0.9189189,0.13163482,62,34,0.100456618,7.054977417,197,22,215,0.489155501,0.909090936,0.010152284,2,20
16,0.16929133,6.817311287,471,37,451,0.49922535,0.8918919,0.112526536,53,33,0.09589041,7.012759686,197,22,216,0.487078905,0.909090936,0.005076142,1,20
17,0.17125984,6.656028271,471,37,450,0.59895563,0.8918919,0.11464968,54,33,0.100456618,6.971666336,197,22,217,0.488232583,0.954545438,0.005076142,1,21
