epoch,accuracy,loss,negative,positive,pred_positive,roc_auc,sensitivity,specificity,true_negative,true_positive,val_accuracy,val_loss,val_negative,val_positive,val_pred_positive,val_roc_auc,val_sensitivity,val_speci,val_true_negative,val_true_positive
0,0.35236222,6.993941784,478,30,336,0.5065551,0.73333335,0.31380752,150,22,0.045662101,6.606022835,209,10,219,0.645454526,1,0,0,10
1,0.38779527,6.829161167,478,30,319,0.5341004,0.6333333,0.37238494,178,19,0.045662101,6.572767258,209,10,219,0.647846878,1,0,0,10
2,0.36417323,6.900869846,478,30,333,0.53312415,0.6666667,0.3451883,165,20,0.045662101,6.538597107,209,10,219,0.645933032,1,0,0,10
3,0.42322835,6.817799091,478,30,309,0.5711994,0.76666665,0.40167364,192,23,0.050228309,6.504238605,209,10,218,0.647846878,1,0.004784689,1,10
4,0.39763778,6.765374184,478,30,320,0.54595536,0.73333335,0.37656903,180,22,0.063926943,6.46967411,209,10,215,0.650717676,1,0.019138755,4,10
5,0.40944883,6.621086121,478,30,322,0.666318,0.8666667,0.38075313,182,26,0.100456618,6.434616089,209,10,205,0.650239229,0.899999976,0.062200956,13,9
6,0.3996063,6.688815594,478,30,315,0.5479777,0.6666667,0.3828452,183,20,0.127853885,6.399305344,209,10,199,0.644019127,0.899999976,0.090909094,19,9
7,0.43503937,6.610112667,478,30,297,0.5548117,0.6666667,0.4205021,201,20,0.19178082,6.364182472,209,10,185,0.64354068,0.899999976,0.157894731,33,9
8,0.41141734,6.59920311,478,30,305,0.54735005,0.6,0.39958158,191,18,0.287671238,6.329525948,209,10,162,0.642583728,0.800000012,0.263157904,55,8
9,0.38976377,6.653861523,478,30,306,0.41443515,0.43333334,0.3870293,185,13,0.369863003,6.29497242,209,10,144,0.644497633,0.800000012,0.349282295,73,8
10,0.47637796,6.572525501,478,30,274,0.51053,0.6333333,0.4665272,223,19,0.447488576,6.260630608,209,10,127,0.650239229,0.800000012,0.430622011,90,8
11,0.48228347,6.424939156,478,30,267,0.5629707,0.56666666,0.47698745,228,17,0.502283096,6.226285458,209,10,113,0.651674628,0.699999988,0.492822975,103,7
12,0.44094488,6.481236458,478,30,292,0.517364,0.6333333,0.4288703,205,19,0.543379009,6.192107677,209,10,104,0.650717676,0.699999988,0.535885155,112,7
13,0.4468504,6.37647295,478,30,295,0.6079498,0.73333335,0.4288703,205,22,0.602739751,6.157993317,209,10,91,0.656937778,0.699999988,0.598086119,125,7
14,0.47834647,6.391631603,478,30,263,0.48165968,0.46666667,0.47907948,229,14,0.634703219,6.123990059,209,10,84,0.659808636,0.699999988,0.631578922,132,7
15,0.52362204,6.393973827,478,30,246,0.56053,0.56666666,0.5209205,249,17,0.666666687,6.090074062,209,10,77,0.661722481,0.699999988,0.665071785,139,7
